CITY_TR,DISTRICT_TR,CITY_EN,DISTRICT_EN,DISSOLVEDC,DISTRICTCODE,INSHP,CITYDATE,DISTRICTDATE,DISTRICTFROM,DISSOLVE,CENTRALOLD,CENTRALDISTRICT,DISTRICTCOUNT,CITYCODE,ISO31662,NUTS,AREA,POP2000,POP2014,FROM,FROMDATE,METROPOL,METROPOLDATE
Aksaray,Güzelyurt,Aksaray,Guzelyurt,1861,1861,1,,,,,0,0,8,68,TR-68,TR712,7965.51,396084,384252,Nigde,06/15/89,0,NA
Aksaray,Merkez,Aksaray,Merkez,1120,1120,1,,,,3,0,0,8,68,TR-68,TR712,7965.51,396084,384252,Nigde,06/15/89,0,NA
Aksaray,Ortaköy,Aksaray,Ortakoy,1557,1557,1,,,,,0,0,8,68,TR-68,TR712,7965.51,396084,384252,Nigde,06/15/89,0,NA
Aksaray,Sarıyahşi,Aksaray,Sariyahsi,1866,1866,1,,,,,0,0,8,68,TR-68,TR712,7965.51,396084,384252,Nigde,06/15/89,0,NA
Aksaray,Sultanhanı,Aksaray,Sultanhani,1120,2106,1,,08/25/17,Merkez,3,0,0,8,68,TR-68,TR712,7965.51,396084,384252,Nigde,06/15/89,0,NA
Amasya,Göynücek,Amasya,Goynucek,1363,1363,1,,,,,0,0,7,5,TR-05,TR834,5703.78,365231,321913,NA,NA,0,NA
Amasya,Gümüşhacıköy,Amasya,Gumushacikoy,1368,1368,1,,,,,0,0,7,5,TR-05,TR834,5703.78,365231,321913,NA,NA,0,NA
Amasya,Hamamözü,Amasya,Hamamozu,1938,1938,1,,05/20/90,,,0,0,7,5,TR-05,TR834,5703.78,365231,321913,NA,NA,0,NA
Amasya,Merkez,Amasya,Merkez,1134,1134,1,,,,,0,0,7,5,TR-05,TR834,5703.78,365231,321913,NA,NA,0,NA
Amasya,Merzifon,Amasya,Merzifon,1524,1524,1,,,,,0,0,7,5,TR-05,TR834,5703.78,365231,321913,NA,NA,0,NA
Amasya,Suluova,Amasya,Suluova,1641,1641,1,,,,,0,0,7,5,TR-05,TR834,5703.78,365231,321913,NA,NA,0,NA
Amasya,Taşova,Amasya,Tasova,1668,1668,1,,,,,0,0,7,5,TR-05,TR834,5703.78,365231,321913,NA,NA,0,NA
Ankara,Akyurt,Ankara,Akyurt,1872,1872,1,,05/20/90,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Altındağ,Ankara,Altindag,1130,1130,1,,,,4,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Ayaş,Ankara,Ayas,1157,1157,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Bala,Ankara,Bala,1167,1167,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Beypazarı,Ankara,Beypazari,1187,1187,1,,,,,0,0,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Çamlıdere,Ankara,Camlidere,1227,1227,1,,,,,0,0,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Çankaya,Ankara,Cankaya,1231,1231,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Çubuk,Ankara,Cubuk,1260,1260,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Elmadağ,Ankara,Elmadag,1302,1302,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Etimesgut,Ankara,Etimesgut,1922,1922,1,,05/20/90,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Evren,Ankara,Evren,1924,1924,1,,05/20/90,,,0,0,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Gölbaşı,Ankara,Golbasi,1744,1744,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Güdül,Ankara,Gudul,1365,1365,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Haymana,Ankara,Haymana,1387,1387,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Kazan,Ankara,Kazan,1815,1815,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Kalecik,Ankara,Kalecik,1427,1427,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Keçiören,Ankara,Kecioren,1745,1745,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Kızılcahamam,Ankara,Kizilcahamam,1473,1473,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Mamak,Ankara,Mamak,1746,1746,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Nallıhan,Ankara,Nallihan,1539,1539,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
