NAME_1_TR,NAME_2_TR,NAME_1_EN,NAME_2_EN,DIST_CNT,CODE,IN_MIB,fromshp1,fromshp2,,IN_GADM
AYDIN,DİDİM,AYDIN,DIDIM,17,2000,1,AYDİN ,DİDİM,TRUE,1
AYDIN,EFELER,AYDIN,EFELER,17,2076,1,,,FALSE,0
AYDIN,GERMENCİK,AYDIN,GERMENCIK,17,1348,1,AYDİN ,GERMENCİK,TRUE,1
AYDIN,İNCİRLİOVA,AYDIN,INCIRLIOVA,17,1807,1,AYDİN ,İNCİRLİOVA,TRUE,1
AYDIN,KARACASU,AYDIN,KARACASU,17,1435,1,AYDİN ,KARACASU,TRUE,1
AYDIN,KARPUZLU,AYDIN,KARPUZLU,17,1957,1,AYDİN ,KARPUZLU,TRUE,1
AYDIN,KOÇARLI,AYDIN,KOCARLI,17,1479,1,AYDİN ,KOÇARLI,TRUE,1
AYDIN,KÖŞK,AYDIN,KOSK,17,1968,1,AYDİN ,KÖŞK,TRUE,1
AYDIN,KUŞADASI,AYDIN,KUSADASI,17,1497,1,AYDİN ,KUŞADASI,TRUE,1
AYDIN,KUYUCAK,AYDIN,KUYUCAK,17,1498,1,AYDİN ,KUYUCAK,TRUE,1
AYDIN,NAZİLLİ,AYDIN,NAZILLI,17,1542,1,AYDİN ,NAZİLLİ,TRUE,1
AYDIN,SÖKE,AYDIN,SOKE,17,1637,1,AYDİN ,SÖKE,TRUE,1
AYDIN,SULTANHİSAR,AYDIN,SULTANHISAR,17,1640,1,AYDİN ,SULTANHİSAR,TRUE,1
AYDIN,YENİPAZAR,AYDIN,YENIPAZAR,17,1724,1,AYDİN ,YENİPAZAR,TRUE,1
BALIKESİR,ALTIEYLÜL,BALIKESIR,ALTIEYLUL,20,2077,1,,,FALSE,0
BALIKESİR,AYVALIK,BALIKESIR,AYVALIK,20,1161,1,BALİKESİR ,AYVALIK,TRUE,1
BALIKESİR,BALYA,BALIKESIR,BALYA,20,1169,1,BALİKESİR ,BALYA,TRUE,1
BALIKESİR,BANDIRMA,BALIKESIR,BANDIRMA,20,1171,1,BALİKESİR ,BANDIRMA,TRUE,1
